KC409248	Hu_GII_20107_2009_VNM|GII.4[P4]|Vietnam|2009
KC409253	Hu_GII_20151_2009_VNM|GII.4[P4]|Vietnam|2009
KC409290	Hu_GII_20344_2009_VNM|GII.4[P4]|Vietnam|2009
KC409300	Hu_GII_20460_2010_VNM|GII.4[P4]|Vietnam|2010
KF039729	Hu_GI.1_CHA6A007_2010_USA|GI.1[P1]|USA|2010
KF039730	Hu_GI.1_CHA9A004_20110419_2011_USA|GI.1[P1]|USA|2011
KF429760	Hu_GII.4_NIHIC28.4_2012_USA|GII.4[P4]|USA|2012
KF429761	Hu_GI.1_8MoIIIL_1972_USA|GI.1[P1]|USA|1972
KF429765	Hu_GI.1_8W_1968_USA|GI.1[P1]|USA|1968
KF429770	Hu_GI.1_8McIII_1973_USA|GI.1[P1]|USA|1973
KF429774	Hu_GI.1_8UIIIf_1973_USA|GI.1[P1]|USA|1973
KF429783	Hu_GI.1_8K_1979_USA|GI.1[P1]|USA|1979
KF429789	Hu_GI.1_8MC_1978_USA|GI.1[P1]|USA|1978
FJ446719	S18|GV.1[P1]|South Korea|2007
FJ537134	Hu_GII.4_CHDC5191_1974_US|GII.4[P39]|USA|1974
FJ537135	Hu_GII.4_CHDC2094_1974_US|GII.4[PNA3]|USA|1974
FJ537136	Hu_GII.4_CHDC3967_1988_US|GII.4[P12]|USA|1988
FJ537137	Hu_GII.4_CHDC4108_1987_US|GII.4[P12]|USA|1987
FJ537138	Hu_GII.4_CHDC4871_1977_US|GII.4[P39]|USA|1977
GU017903	Hu_GII.14_8553_Maizuru_2008_JPN|GII.14[P7]|Japan|2008
HM748971	Hu_GII.4_NSW305P_2009_AU|GII.4[P4]|Australia|2009
JF320652	GV_NIH-A114_2006_USA|GV.1[P1]|USA|2006
JN400601	JN400601|GII.4[P4]|Taiwan|2006
JN400603	JN400603|GII.4[P4]|Taiwan|2006
JN400610	JN400610|GII.4[P4]|Taiwan|2007
JN400612	JN400612|GII.4[P4]|Taiwan|2007
JN400613	JN400613|GII.4[P4]|Taiwan|2007
AY228235	Mu_NoV_GV_MNV1_2002_USA|GV.1[P1]|USA|2002
EF202567	SK2002|GII.4[P4]|Canada|2002
EU004655	Mu_NoV_GV_MNV1_2002_USA|GV.1[P1]|USA|2002
EU004664	Mu_NoV_GV_WU12_2005_USA|GV.1[P1]|USA|2005
EU004674	Mu_NoV_GV_CR4_2005_USA|GV.1[P1]|USA|2005
EU004682	Mu_NoV_GV_CR17_2005_USA|GV.1[P1]|USA|2005
AB933645	Hu_GII.4_Toyama4_2009_JP|GII.4[P4]|Japan|2009
AB933662	Hu_GII.4_Chiba3_2010_JP|GII.4[P4]|Japan|2010
AB933671	Hu_GII.4_Hiroshima3_2010_JP|GII.4[P4]|Japan|2010
AB933739	Hu_GII.4_Fukui1_2009_JP|GII.4[P4]|Japan|2009
AB933743	Hu_GII.4_Nagano4_2009_JP|GII.4[P4]|Japan|2009
AB985418	Hu_GVIII_2-18_Tokyo_1986_JPN|GVIII.1[P28]|Japan|1986
